Colony,Disease,Species,Source,Genotype.Label,Region,Site ,Genotype
4,0,MC,UM,1,1,1,MC1
7,0,MC,UM,5,1,1,MC5
9,0,MC,FWC,23,1,1,MC23
23,1,MC,FWC,25,1,1,MC25
33,0,MC,UM,2,1,1,MC2
35,0,MC,FWC,14,1,1,MC14
42,0,MC,UM,4,1,1,MC4
44,0,MC,MML,1T,1,1,MC1T
47,0,MC,MML,11,1,1,MC11
49,0,MC,MML,11,1,2,MC11
51,0,MC,MML,4,1,2,MC4
54,0,MC,UM,5,1,2,MC5
64,0,MC,UM,1,1,2,MC1
65,0,MC,FWC,35,1,2,MC35
73,0,MC,UM,4,1,2,MC4
81,0,MC,UM,3,1,2,MC3
90,0,MC,FWC,23,1,2,MC23
97,0,MC,FWC,16,1,3,MC16
108,0,MC,UM,1,1,3,MC1
109,0,MC,MML,11,1,3,MC11
116,0,MC,FWC,21,1,3,MC21
128,1,MC,FWC,26,1,3,MC26
129,0,MC,MML,4,1,3,MC4
137,0,MC,UM,3,1,3,MC3
138,1,MC,UM,5,1,3,MC5
140,3,MC,UM,6,1,3,MC6
141,2,MC,UM,2,1,3,MC2
146,0,MC,FWC,22,1,4,MC22
155,0,MC,UM,2,1,4,MC2
157,0,MC,FWC,36,1,4,MC36
159,0,MC,MML,11,1,4,MC11
167,0,MC,FWC,20,1,4,MC20
178,0,MC,MML,33,1,4,MC33
183,0,MC,UM,1,1,4,MC1
188,0,MC,UM,4,1,4,MC4
189,0,MC,FWC,27,1,4,MC27
198,0,MC,UM,1,2,1,MC1
202,0,MC,MML,4,2,1,MC4
208,1,MC,FWC,25,2,1,MC25
211,0,MC,UM,5,2,1,MC5
212,0,MC,UM,3,2,1,MC3
213,0,MC,MML,11,2,1,MC11
219,0,MC,FWC,14,2,1,MC14
222,0,MC,FWC,23,2,1,MC23
224,1,MC,UM,4,2,1,MC4
243,2,MC,FWC,26,2,2,MC26
246,0,MC,UM,1,2,2,MC1
254,0,MC,MML,11,2,2,MC11
258,0,MC,UM,5,2,2,MC5
271,2,MC,UM,2,2,2,MC2
273,0,MC,MML,33,2,2,MC33
279,0,MC,FWC,23,2,2,MC23
286,0,MC,UM,6,2,2,MC6
296,3,MC,UM,4,2,3,MC4
301,0,MC,MML,11,2,3,MC11
303,0,MC,FWC,21,2,3,MC21
305,0,MC,FWC,19,2,3,MC19
313,0,MC,MML,1T,2,3,MC1T
314,0,MC,UM,6,2,3,MC6
322,0,MC,UM,1,2,3,MC1
323,0,MC,UM,2,2,3,MC2
330,0,MC,UM,5,2,3,MC5
339,0,MC,MML,4,2,4,MC4
345,0,MC,FWC,20,2,4,MC20
347,2,MC,UM,2,2,4,MC2
352,0,MC,UM,3,2,4,MC3
355,1,MC,FWC,22,2,4,MC22
357,0,MC,UM,1,2,4,MC1
365,0,MC,FWC,36,2,4,MC36
367,0,MC,MML,11,2,4,MC11
371,0,MC,FWC,35,2,4,MC35
383,3,MC,UM,4,2,4,MC4
385,3,MC,UM,4,3,1,MC4
387,1,MC,UM,2,3,1,MC2
396,0,MC,FWC,14,3,1,MC14
405,0,MC,MML,4,3,1,MC4
407,0,MC,UM,6,3,1,MC6
412,0,MC,UM,1,3,1,MC1
413,0,MC,MML,33,3,1,MC33
417,3,MC,MML,11,3,1,MC11
423,0,MC,FWC,27,3,1,MC27
450,3,MC,UM,4,3,2,MC4
463,0,MC,UM,1,3,2,MC1
467,0,MC,UM,5,3,2,MC5
468,3,MC,MML,11,3,2,MC11
471,3,MC,FWC,28,3,2,MC28
476,0,MC,FWC,19,3,2,MC19
477,0,MC,FWC,21,3,2,MC21
478,0,MC,MML,4,3,2,MC4
480,2,MC,UM,2,3,2,MC2
481,0,MC,MML,11,3,3,MC11
482,1,MC,FWC,19,3,3,MC19
486,0,MC,UM,1,3,3,MC1
495,0,MC,FWC,13,3,3,MC13
498,1,MC,FWC,20,3,3,MC20
513,0,MC,UM,5,3,3,MC5
515,0,MC,UM,4,3,3,MC4
525,0,MC,UM,3,3,3,MC3
540,1,MC,UM,2,3,4,MC2
542,1,MC,FWC,26,3,4,MC26
545,0,MC,UM,5,3,4,MC5
546,1,MC,FWC,35,3,4,MC35
547,1,MC,FWC,22,3,4,MC22
549,0,MC,UM,3,3,4,MC3
566,0,MC,MML,11,3,4,MC11
567,1,MC,FWC,26,3,4,MC26
568,0,MC,UM,1,3,4,MC1
576,0,MC,MML,1T,3,4,MC1T
577,0,MC,FWC,23,4,1,MC23
579,0,MC,MML,11,4,1,MC11
583,0,MC,UM,1,4,1,MC1
585,0,MC,FWC,19,4,1,MC19
601,0,MC,UM,5,4,1,MC5
608,0,MC,FWC,25,4,1,MC25
612,0,MC,MML,33,4,1,MC33
614,0,MC,UM,6,4,1,MC6
630,0,MC,MML,4,4,2,MC4
633,0,MC,UM,4,4,2,MC4
641,0,MC,UM,2,4,2,MC2
651,0,MC,MML,11,4,2,MC11
654,0,MC,UM,3,4,2,MC3
655,0,MC,FWC,20,4,2,MC20
658,0,MC,UM,1,4,2,MC1
659,0,MC,FWC,19,4,2,MC19
662,0,MC,FWC,16,4,2,MC16
666,0,MC,FWC,27,4,2,MC27
673,2,MC,UM,1,4,3,MC1
676,0,MC,FWC,21,4,3,MC21
683,0,MC,UM,2,4,3,MC2
690,0,MC,FWC,14,4,3,MC14
696,0,MC,UM,4,4,3,MC4
698,0,MC,MML,4,4,3,MC4
701,0,MC,UM,5,4,3,MC5
705,1,MC,MML,11,4,3,MC11
710,0,MC,FWC,13,4,3,MC13
725,3,MC,FWC,26,4,4,MC26
726,3,MC,UM,4,4,4,MC4
743,0,MC,FWC,28,4,4,MC28
746,0,MC,UM,5,4,4,MC5
748,3,MC,MML,11,4,4,MC11
753,0,MC,UM,1,4,4,MC1
754,0,MC,FWC,22,4,4,MC22
761,0,MC,UM,3,4,4,MC3
762,0,MC,MML,1T,4,4,MC1T
774,1,MC,MML,11,5,1,MC11
778,0,MC,FWC,19,5,1,MC19
781,0,MC,UM,3,5,1,MC3
786,0,MC,UM,2,5,1,MC2
788,0,MC,UM,4,5,1,MC4
789,0,MC,UM,1,5,1,MC1
794,0,MC,MML,1T,5,1,MC1T
797,0,MC,FWC,25,5,1,MC25
817,0,MC,FWC,36,5,2,MC36
825,3,MC,UM,4,5,2,MC4
829,0,MC,FWC,14,5,2,MC14
831,0,MC,FWC,20,5,2,MC20
848,0,MC,MML,11,5,2,MC11
850,0,MC,UM,1,5,2,MC1
851,0,MC,UM,5,5,2,MC5
852,0,MC,UM,2,5,2,MC2
857,0,MC,MML,33,5,2,MC33
862,0,MC,FWC,28,5,2,MC28
867,0,MC,FWC,22,5,3,MC22
869,0,MC,UM,2,5,3,MC2
870,1,MC,UM,3,5,3,MC3
882,0,MC,FWC,20,5,3,MC20
887,0,MC,MML,11,5,3,MC11
888,0,MC,UM,5,5,3,MC5
900,0,MC,UM,6,5,3,MC6
901,0,MC,UM,1,5,3,MC1
907,0,MC,FWC,26,5,3,MC26
909,0,MC,FWC,35,5,3,MC35
912,0,MC,MML,4,5,3,MC4
915,0,MC,FWC,23,5,4,MC23
916,0,MC,MML,4,5,4,MC4
918,3,MC,UM,6,5,4,MC6
923,0,MC,MML,11,5,4,MC11
927,0,MC,UM,1,5,4,MC1
934,0,MC,FWC,16,5,4,MC16
943,1,MC,FWC,21,5,4,MC21
956,0,MC,UM,5,5,4,MC5
957,0,MC,FWC,13,5,4,MC13
958,1,MC,UM,4,5,4,MC4
965,0,MC,FWC,25,6,1,MC25
966,0,MC,FWC,26,6,1,MC26
975,0,MC,MML,1T,6,1,MC1T
978,0,MC,FWC,23,6,1,MC23
980,0,MC,UM,4,6,1,MC4
981,0,MC,UM,1,6,1,MC1
983,0,MC,FWC,36,6,1,MC36
992,0,MC,MML,11,6,1,MC11
996,3,MC,UM,5,6,1,MC5
1009,2,MC,MML,4,6,2,MC4
1014,3,MC,UM,5,6,2,MC5
1022,3,MC,FWC,27,6,2,MC27
1024,0,MC,MML,11,6,2,MC11
1036,0,MC,UM,5,6,2,MC5
1037,1,MC,UM,2,6,2,MC2
1038,0,MC,UM,1,6,2,MC1
1045,1,MC,FWC,20,6,2,MC20
1049,0,MC,FWC,16,6,2,MC16
1059,0,MC,UM,3,6,3,MC3
1063,0,MC,UM,2,6,3,MC2
1070,0,MC,FWC,14,6,3,MC14
1072,2,MC,MML,11,6,3,MC11
1088,1,MC,MML,4,6,3,MC4
1089,0,MC,FWC,21,6,3,MC21
1090,0,MC,UM,1,6,3,MC1
1093,0,MC,FWC,28,6,3,MC28
1104,0,MC,UM,4,6,3,MC4
1106,3,MC,UM,2,6,4,MC2
1111,1,MC,MML,33,6,4,MC33
1112,3,MC,UM,6,6,4,MC6
1113,0,MC,FWC,21,6,4,MC21
1120,0,MC,FWC,13,6,4,MC13
1125,0,MC,UM,5,6,4,MC5
1137,0,MC,FWC,22,6,4,MC22
1140,0,MC,UM,1,6,4,MC1
1141,1,MC,FWC,19,6,4,MC19
1146,1,MC,MML,11,6,4,MC11
1227,0,MC,FWC,28,2,2,MC28
1239,0,MC,FWC,16,2,3,MC16
1474,0,MC,FWC,23,6,1,MC23
3,3,OF,CRF,33,1,1,OF33
5,0,OF,RR,50,1,1,OF50
6,0,OF,MML,1,1,1,OF1
8,0,OF,CRF,36,1,1,OF36
10,0,OF,RR,50,1,1,OF50
11,0,OF,CRF,7,1,1,OF7
12,0,OF,MML,61,1,1,OF61
13,0,OF,RR,93,1,1,OF93
14,1,OF,MML,125,1,1,OF125
15,0,OF,MML,S8T,1,1,OFS8T
16,0,OF,MML,483,1,1,OF483
17,0,OF,FWC,2,1,1,OF2
20,0,OF,MML,345,1,1,OF345
21,0,OF,MML,S227T,1,1,OFS227T
22,1,OF,CRF,24,1,1,OF24
25,0,OF,CRF,34,1,1,OF34
26,0,OF,CRF,24,1,1,OF24
28,0,OF,CRF,35,1,1,OF35
29,3,OF,RR,52,1,1,OF52
30,0,OF,CRF,34,1,1,OF34
31,0,OF,CRF,15,1,1,OF15
32,3,OF,UM,1,1,1,OF1
34,0,OF,CRF,15,1,1,OF15
36,0,OF,CRF,39,1,1,OF39
39,0,OF,CRF,14,1,1,OF14
41,0,OF,MML,3,1,1,OF3
46,0,OF,RR,51,1,1,OF51
48,1,OF,CRF,39,1,1,OF39
50,1,OF,CRF,39,1,2,OF39
53,0,OF,MML,61T,1,2,OF61T
56,0,OF,RR,50,1,2,OF50
57,0,OF,FWC,20,1,2,OF20
