SAMPLE,Bams,Source Colony ID,sampleID,Source,Disease,Treated,Date Collected,Nursery,Species
18,rtt_18,OF14,OF_001,CRF,Y,N,5/3/2021,in situ,OFAV
19,rtt_19,OF36,OF_002,CRF,Y,N,5/3/2021,in situ,OFAV
20,rtt_20,OF20,OF_003,FWC,Y,N,5/3/2021,in situ,OFAV
21,rtt_21,OF93,OF_004RX,RR,Y,N,5/3/2021,in situ,OFAV
22,rtt_22,OF2 ,OF_005,FWC,Y,N,5/3/2021,in situ,OFAV
23,rtt_23,OF50,OF_006RX,RR,Y,N,5/3/2021,in situ,OFAV
24,rtt_24,OF51,OF_007,RR,Y,N,5/3/2021,in situ,OFAV
25,rtt_25,OF2,OF_008R,UM,N,N,5/3/2021,in situ,OFAV
26,rtt_26,OF33,OF_009R,CRF,Y,N,5/3/2021,in situ,OFAV
27,rtt_27,OF22,OF_010R,FWC,Y,N,5/3/2021,in situ,OFAV
28,rtt_28,OF26(39),OF_011R,CRF,Y,N,5/3/2021,in situ,OFAV
29,rtt_29,OF19(36),OF_012R,CRF,Y,N,5/3/2021,in situ,OFAV
30,rtt_30,OF3,OF_013R,UM,Y,Y,5/3/2021,in situ,OFAV
31,rtt_31,OF52,OF_014RX,RR,Y,N,5/3/2021,in situ,OFAV
32,rtt_32,OF7,OF_015R,CRF,Y,N,5/3/2021,in situ,OFAV
33,rtt_33,OF1,OF_016R,UM,Y,N,5/3/2021,in situ,OFAV
34,rtt_34,OF57,OF_017RX,MOTE,Y,N,5/3/2021,?,OFAV
35,rtt_35,OF32,OF_018X,MOTE,Y,N,5/3/2021,?,OFAV
36,rtt_36,OF36,OF_019RX,MOTE,Y,N,5/3/2021,?,OFAV
37,rtt_37,OF11,OF_020R,MOTE,N,Y,5/3/2021,?,OFAV
38,rtt_38,OF3,OF_021R,MOTE,Y,N,5/3/2021,?,OFAV
39,rtt_39,OF125,OF_022,MOTE,Y,Y,5/3/2021,?,OFAV
40,rtt_40,OF126,OF_023X,MOTE,N,Y,5/3/2021,?,OFAV
41,rtt_41,OF27,OF_024R,MOTE,Y,N,5/3/2021,?,OFAV
42,rtt_42,OF8,OF_025,MOTE,N,N,5/3/2021,?,OFAV
43,rtt_43,OF483,OF_026R,MOTE,Y,N,5/3/2021,?,OFAV
45,rtt_45,OF1,OF_028RX,MOTE,Y,N,5/3/2021,?,OFAV
46,rtt_46,OF132,OF_029R,MOTE,N,Y,5/3/2021,?,OFAV
47,rtt_47,OF127,OF_030R,MOTE,N,N,5/3/2021,?,OFAV
48,rtt_48,OF227,OF_031,MOTE,Y,Y,5/3/2021,?,OFAV
