sampleID,A4,B1/B14e-B1x-B1ai-B1ao-B14c-B1j-B1am-B1an,B1-B1by-B1dm-B14h-B1x,B1-B1by-B1au-B1bw,B1-B1x-B14d-B1ao-B1co,B1-B1by-B1dm,C3-C3de-C3bb-C21ae-C3an-C3s-C21-C3dk,C3-C3fc-C21-C3an-C3b-C3bb-C3fd-C3s,C3-C21-C3an,C3/C21-C3b,C3an/C3-C21-C3bb,D1-D4-D4c-D1c-D2-D1k,D1/D4/D2-D4c-D1c-D1h,D1-D4-D4c-D1c-D1h
MC_001,0,0,0,0,0,0,3610,0,0,0,0,0,0,0
MC_002,0,0,0,0,0,0,2401,0,0,0,0,0,558,0
MC_003,0,0,0,0,0,0,0,0,0,0,0,4644,0,0
MC_004,0,0,0,0,0,0,0,288,0,0,0,0,0,0
MC_005,0,0,0,0,0,0,3251,0,0,0,0,0,0,0
MC_006,0,0,0,0,0,0,0,0,0,0,0,2662,0,0
MC_006.2,0,0,0,0,0,0,0,0,0,0,0,8263,0,0
MC_006.3,0,0,0,0,0,0,0,0,0,0,0,4905,0,0
MC_007,0,0,0,0,0,0,3102,0,0,0,0,0,0,0
MC_008,0,0,0,0,0,0,0,6065,0,0,0,0,0,0
MC_009,0,0,0,0,0,0,2586,0,0,0,0,0,0,0
MC_010,0,0,0,0,0,0,2422,0,0,0,0,0,0,0
MC_011,0,0,0,0,0,0,0,1326,0,0,0,0,0,0
MC_012,0,0,0,0,0,0,0,6044,0,0,0,0,0,0
MC_013,0,0,0,0,0,0,1937,0,0,0,0,0,0,0
MC_014,0,0,0,0,0,0,2944,0,0,0,0,0,0,0
MC_015,0,0,0,0,0,0,3803,0,0,0,0,0,0,0
MC_016,0,0,0,0,0,0,3427,0,0,0,0,0,0,0
MC_017,0,0,0,0,0,0,3450,0,0,0,0,0,0,0
OF_001,0,0,0,0,0,2139,0,0,0,0,0,0,0,0
OF_002,0,0,0,4396,0,0,0,0,0,0,0,0,0,0
OF_003,0,0,0,0,0,0,0,0,0,0,0,3578,0,0
OF_004RX,0,0,4147,0,0,0,0,0,0,0,0,0,0,0
OF_005,0,0,0,0,0,0,0,0,0,0,0,5198,0,0
OF_006RX,0,0,0,0,0,0,0,0,0,0,4322,0,0,0
OF_007,0,0,2245,0,0,0,0,0,783,0,0,0,0,0
OF_008R,0,0,1248,0,0,0,0,0,1825,0,0,0,0,0
OF_009R,0,0,0,0,0,0,0,0,0,0,0,4176,0,0
