RTT,sampleID
rtt_01,MC_001
rtt_02,MC_002
rtt_03,MC_003
rtt_04,MC_004
rtt_05,MC_005
rtt_06,MC_006
rtt_07,MC_007
rtt_08,MC_008
rtt_09,MC_009
rtt_10,MC_010
rtt_11,MC_011
rtt_12,MC_012
rtt_13,MC_013
rtt_14,MC_014
rtt_15,MC_015
rtt_16,MC_016
rtt_17,MC_017
rtt_18,OF_001
rtt_19,OF_002
rtt_20,OF_003
rtt_21,OF_004RX
rtt_22,OF_005
rtt_23,OF_006RX
rtt_24,OF_007
rtt_25,OF_008R
rtt_26,OF_009R
rtt_27,OF_010R
rtt_28,OF_011R
rtt_29,OF_012R
rtt_30,OF_013R
rtt_31,OF_014RX
rtt_32,OF_015R
rtt_33,OF_016R
rtt_34,OF_017RX
rtt_35,OF_018RX
rtt_36,OF_019RX
rtt_37,OF_020R
rtt_38,OF_021R
rtt_39,OF_022
rtt_40,OF_023RX
rtt_41,OF_024R
rtt_42,OF_025
rtt_43,OF_026R
rtt_44,OF_027RX
rtt_45,OF_028RX
rtt_46,OF_029R
rtt_47,OF_030R
rtt_48,OF_031
rtt_49,PC_001RX
rtt_50,PC_002
rtt_51,PC_003
rtt_52,PC_004
rtt_53,PC_005
rtt_54,PC_006
rtt_55,PC_007
rtt_56,PC_008
rtt_57,PC_009
rtt_58,PC_010
rtt_59,PC_011
rtt_60,PC_012
rtt_61,PC_013
rtt_62,PC_014
rtt_63,PC_015RX
rtt_64,PC_016
rtt_65,PC_017
rtt_66,PC_018
rtt_67,PC_019
rtt_68,PC_020
rtt_69,PC_021
rtt_70,PC_022
rtt_71,PC_023
rtt_72,PC_024
rtt_73,PC_025
rtt_74,PC_026
rtt_75,PC_027
