sample.number,sampleID,source,species,disease.status,site
1,MC_001,FWC,MCAV,0,site1
2,MC_002,FWC,MCAV,1,site2
3,MC_003,FWC,MCAV,0,site3
4,MC_004,UM,MCAV,0,site4
5,MC_005,FWC,MCAV,1,site5
6,MC_006,FWC,MCAV,0,site6
7,MC_007,FWC,MCAV,1,site7
8,MC_008,UM,MCAV,1,site8
9,MC_009,UM,MCAV,1,site9
10,MC_010,FWC,MCAV,1,site10
11,MC_011,UM,MCAV,1,site11
13,MC_013,FWC,MCAV,0,site12
14,MC_014,MOTE,MCAV,1,site13
15,MC_015,MOTE,MCAV,0,site14
16,MC_016,MOTE,MCAV,1,site15
17,MC_017,MOTE,MCAV,1,site16
18,OF_001,CRF,OFAV,1,site17
19,OF_002,CRF,OFAV,1,site18
20,OF_003,FWC,OFAV,1,site19
21,OF_004RX,RR,OFAV,1,site20
22,OF_005,FWC,OFAV,1,site21
23,OF_006RX,RR,OFAV,1,site22
24,OF_007,RR,OFAV,1,site23
25,OF_008R,UM,OFAV,0,site24
26,OF_009R,CRF,OFAV,1,site25
27,OF_010R,FWC,OFAV,1,site26
28,OF_011R,CRF,OFAV,1,site27
29,OF_012R,CRF,OFAV,1,site28
30,OF_013R,UM,OFAV,1,site29
31,OF_014RX,RR,OFAV,1,site30
32,OF_015R,CRF,OFAV,1,site31
33,OF_016R,UM,OFAV,1,site32
34,OF_017RX,MOTE,OFAV,1,site33
35,OF_018RX,MOTE,OFAV,1,site34
36,OF_019RX,MOTE,OFAV,1,site35
37,OF_020R,MOTE,OFAV,0,site36
38,OF_021R,MOTE,OFAV,1,site37
39,OF_022,MOTE,OFAV,1,site38
40,OF_023RX,MOTE,OFAV,0,site39
41,OF_024R,MOTE,OFAV,1,site40
42,OF_025,MOTE,OFAV,0,site41
43,OF_026R,MOTE,OFAV,1,site42
45,OF_028RX,MOTE,OFAV,1,site43
46,OF_029R,MOTE,OFAV,0,site44
47,OF_030R,MOTE,OFAV,0,site45
48,OF_031,MOTE,OFAV,1,site46
50,PC_002,FWC,PCLI,1,site47
51,PC_003,FWC,PCLI,1,site48
52,PC_004,FWC,PCLI,0,site49
53,PC_005,FWC,PCLI,0,site50
54,PC_006,FWC,PCLI,1,site51
55,PC_007,UM,PCLI,0,site52
57,PC_009,FWC,PCLI,0,site53
58,PC_010,UM,PCLI,1,site54
59,PC_011,FWC,PCLI,1,site55
60,PC_012,FWC,PCLI,0,site56
61,PC_013,FWC,PCLI,1,site57
62,PC_014,FWC,PCLI,1,site58
63,PC_015RX,FWC,PCLI,1,site59
64,PC_016,RR,PCLI,1,site60
65,PC_017,RR,PCLI,1,site61
66,PC_018,UM,PCLI,0,site62
67,PC_019,UM,PCLI,1,site63
68,PC_020,UM,PCLI,0,site64
69,PC_021,FWC,PCLI,1,site65
70,PC_022,RR,PCLI,0,site66
71,PC_023,RR,PCLI,1,site67
72,PC_024,UM,PCLI,1,site68
73,PC_025,MOTE,PCLI,1,site69
74,PC_026,MOTE,PCLI,0,site70
75,PC_027,MOTE,PCLI,1,site71
